None,"John Muir and Skyline Blvd (Fort Funston, main lot)",37.718951, -122.500339,PARCEL,4,0,IN_PROGRESS
None,Polo Field,37.768270, -122.492460,PARCEL,0,0,IN_PROGRESS
2645 OCEAN AVE,San Francisco Federal Union,37.731654, -122.474188,SIDEWALK,1,2,IN_PROGRESS
None,Stanyan and Waller (Waller Street bicycle learning area and farmer's market),37.76825000, -122.45359000,PARCEL,0,0,IN_PROGRESS
1398 HAIGHT ST,Magnolia Brewery,37.77040275, -122.44512989,PARKING_LANE,3,6,IN_PROGRESS
1530 BUCHANAN ST,Buchanan YMCA,37.784184, -122.429150,SIDEWALK,0,0,IN_PROGRESS
401 GROVE ST,300 Ivy,37.777492, -122.423560,SIDEWALK,4,8,IN_PROGRESS
736 VALENCIA ST,Mission Cheese,37.761128, -122.421841,PARKING_LANE,5,10,IN_PROGRESS
1199 VALENCIA ST,Beretta,37.753848, -122.420553,PARKING_LANE,4,8,IN_PROGRESS
2140 MISSION ST,"Sycamore, The",37.762785, -122.419734,PARKING_LANE,5,10,IN_PROGRESS
3150 18TH ST,ActivSpace / Treat Street Bicycle Works,37.762699, -122.414256,PARKING_LANE,5,10,IN_PROGRESS
2814 19TH ST,Universal Cafe,37.76062897, -122.41064704,PARKING_LANE,6,12,IN_PROGRESS
1225 FOLSOM ST,Driftwood,37.774473, -122.410297,PARKING_LANE,7,14,IN_PROGRESS
100 ALEMANY BLVD,Alemany Farmer's Market,37.73628325, -122.41013968,PARCEL,8,16,IN_PROGRESS
34 MASON ST,Barbary Coast / Mikkeller,37.783976, -122.408981,PARKING_LANE,6,12,IN_PROGRESS
739 BRYANT ST,Shared LLC,37.776878, -122.400934,PARKING_LANE,5,10,IN_PROGRESS
4117 JUDAH ST,"Honey Hive Gallery, The",37.76015777, -122.50636013,SIDEWALK,0,0,IN_PROGRESS
4019 JUDAH ST,Celia's By the Beach,37.760244, -122.505205,PARKING_LANE,0,0,IN_PROGRESS
3876 NORIEGA ST,Devil's Teeth Bakery,37.753205, -122.505012,SIDEWALK,0,0,IN_PROGRESS
